date,specific_region,general_region,trigger,depth_ft,width_ft,url,lat,lon,elevation_ft,slope_angle_deg,vertical_ft,aspect
4/29/2014,Avalanche: Red Pine Gulch,Salt Lake,Skier,0.67,175,https://utahavalanchecenter.org/avalanche/21559,40.533216,-111.690123,10400,38,Unknown,Northeast
4/28/2014,Avalanche: West Bowl,Salt Lake,Unknown,1.5,50,https://utahavalanchecenter.org/avalanche/21545,40.602295,-111.631587,10000,39,100,Northeast
4/28/2014,Avalanche: Patsy Marly,Salt Lake,Skier,1.5,250,https://utahavalanchecenter.org/avalanche/21548,40.588667,-111.612339,10000,Unknown,700,West
4/28/2014,Avalanche: Scotties Bowl,Salt Lake,Skier,1.25,150,https://utahavalanchecenter.org/avalanche/21552,40.562395,-111.675167,9800,36,200,East
4/28/2014,Avalanche: Cardiff Bowl,Salt Lake,Skier,1.17,40,https://utahavalanchecenter.org/avalanche/21554,40.595218,-111.652293,10200,Unknown,300,Southeast
4/27/2014,Avalanche: Little Superior,Salt Lake,Skier,0.67,100,https://utahavalanchecenter.org/avalanche/21537,40.591861,-111.662464,10500,34,2000,Southeast
4/11/2014,Avalanche: Holy Toledo,Salt Lake,Natural,2.0,900,https://utahavalanchecenter.org/avalanche/21489,40.600632,-111.647227,10200,-999,900,Northwest
4/7/2014,Avalanche: Pfeifferhorn,Salt Lake,,0.83,100,https://utahavalanchecenter.org/avalanche/21458,40.532328,-111.705208,11000,38,100,South
4/7/2014,Avalanche: Cardiff Pass,Salt Lake,Skier,0.67,30,https://utahavalanchecenter.org/avalanche/21421,40.59524,-111.651843,10100,38,100,East
4/7/2014,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,-999.0,-999,https://utahavalanchecenter.org/avalanche/21429,40.587885,-111.680489,10700,-999,3000,Southeast
4/1/2014,Avalanche: Cardiff Pass,Salt Lake,Skier,1.0,100,https://utahavalanchecenter.org/avalanche/21333,40.594667,-111.646575,9400,30,100,East
4/1/2014,Avalanche: Wolverine Cirque,Salt Lake,Skier,1.0,200,https://utahavalanchecenter.org/avalanche/21339,40.587103,-111.599808,10300,38,250,Northeast
4/1/2014,Avalanche: Patsy Marly,Salt Lake,Skier,1.0,80,https://utahavalanchecenter.org/avalanche/21341,40.587656,-111.61309,9800,37,200,West
3/29/2014,Avalanche: Lake Peak,Salt Lake,Skier,1.0,60,https://utahavalanchecenter.org/avalanche/21287,40.541691,-111.682503,10300,40,200,North
3/29/2014,Avalanche: Coalpit,Salt Lake,Skier,-999.0,-999,https://utahavalanchecenter.org/avalanche/21289,40.546392,-111.731084,10600,-999,-999,North
3/27/2014,Avalanche: Lake Peak,Salt Lake,Natural,0.83,175,https://utahavalanchecenter.org/avalanche/21271,40.543228,-111.68287,10500,38,450,Northeast
3/27/2014,Avalanche: Wolverine Cirque,Salt Lake,Skier,1.0,50,https://utahavalanchecenter.org/avalanche/21245,40.589792,-111.607833,10400,35,250,East
3/27/2014,Avalanche: Pioneer Ridge,Salt Lake,Skier,0.83,50,https://utahavalanchecenter.org/avalanche/21251,40.581492,-111.589658,10200,39,100,North
3/15/2014,Avalanche: Lake Peak,Salt Lake,Skier,0.67,60,https://utahavalanchecenter.org/avalanche/21089,40.545428,-111.684357,9900,35,150,North
3/12/2014,Avalanche: Two Trees,Salt Lake,Skier,0.5,20,https://utahavalanchecenter.org/avalanche/21039,40.593807,-111.643753,9200,35,200,Southeast
3/12/2014,Avalanche: Little Superior,Salt Lake,Skier,-999.0,200,https://utahavalanchecenter.org/avalanche/21051,40.593164,-111.660016,10200,-999,800,Southeast
3/12/2014,Avalanche: Monte Cristo,Salt Lake,Skier,0.33,40,https://utahavalanchecenter.org/avalanche/21059,40.591216,-111.668966,10800,40,Unknown,South
3/11/2014,Avalanche: Hogum,Salt Lake,Natural,-999.0,500,https://utahavalanchecenter.org/avalanche/21053,40.531059,-111.729092,Unknown,Unknown,Unknown,North
3/8/2014,Avalanche: Cardiac Bowl,Salt Lake,Skier,0.5,40,https://utahavalanchecenter.org/avalanche/21009,40.592722,-111.663022,10500,35,400,Northeast
3/1/2014,Avalanche: Sunset Peak,Salt Lake,Unknown,-999.0,-999,https://utahavalanchecenter.org/avalanche/20927,40.578531,-111.593328,10300,Unknown,600,Northwest
3/1/2014,Avalanche: Michigan City,Salt Lake,Skier,1.33,150,https://utahavalanchecenter.org/avalanche/20854,40.592674,-111.61656,9700,38,200,North
3/1/2014,Avalanche: Red Baldy,Salt Lake,Natural,6.0,"1,000",https://utahavalanchecenter.org/avalanche/20874,40.540738,-111.669395,10600,40,900,North
3/1/2014,Avalanche: Cardiff Fork,Salt Lake,Natural,3.5,200,https://utahavalanchecenter.org/avalanche/20884,40.602731,-111.648772,9900,-999,500,West
2/28/2014,Avalanche: Two Dogs,Salt Lake,Unknown,1.0,100,https://utahavalanchecenter.org/avalanche/20831,40.599812,-111.642723,Unknown,Unknown,300,Northeast
2/28/2014,Avalanche: Flagstaff Ridge,Salt Lake,Skier,1.0,100,https://utahavalanchecenter.org/avalanche/20809,40.595739,-111.640642,9700,Unknown,300,Southeast
2/28/2014,Avalanche: Lackawaxen,Salt Lake,Snowboarder,1.17,350,https://utahavalanchecenter.org/avalanche/20818,40.592611,-111.560583,9900,45,1250,Northeast
2/28/2014,Avalanche: Pink Pine,Salt Lake,Skier,1.0,80,https://utahavalanchecenter.org/avalanche/20821,40.558613,-111.692591,9200,37,600,Northeast
2/28/2014,Avalanche: Big Cottonwood Canyon,Salt Lake,Snowboarder,1.17,150,https://utahavalanchecenter.org/avalanche/20823,40.591307,-111.560154,10600,Unknown,800,Northeast
2/28/2014,Avalanche: Toledo Chutes,Salt Lake,,-999.0,-999,https://utahavalanchecenter.org/avalanche/20826,40.597531,-111.646585,-999,-999,-999,-999
2/27/2014,Avalanche: Patsy Marly,Salt Lake,Skier,0.33,100,https://utahavalanchecenter.org/avalanche/20789,40.592839,-111.62015,9400,36,400,West
2/15/2014,Avalanche: Twin Lakes Pass,Salt Lake,Snowboarder,4.0,200,https://utahavalanchecenter.org/avalanche/20515,40.592861,-111.608133,10000,40,800,East
2/15/2014,Avalanche: Flagstaff Ridge,Salt Lake,,0.67,100,https://utahavalanchecenter.org/avalanche/20524,40.599,-111.642,9500,38,800,Southeast
2/14/2014,Avalanche: Cardiac Bowl,Salt Lake,Natural,6.0,"1,000",https://utahavalanchecenter.org/avalanche/20500,40.595869,-111.666584,10500,-999,-999,East
2/14/2014,Avalanche: upper Days,Salt Lake,Natural,4.0,40,https://utahavalanchecenter.org/avalanche/20484,40.601083,-111.642423,10000,Unknown,400,Northeast
2/14/2014,Avalanche: Mill B South,Salt Lake,Natural,4.0,-999,https://utahavalanchecenter.org/avalanche/20748,40.590343,-111.696496,10800,-999,1750,Northwest
2/14/2014,Avalanche: Wolverine Cirque,Salt Lake,Natural,0.5,300,https://utahavalanchecenter.org/avalanche/20493,40.588537,-111.608262,10500,Unknown,600,Northeast
